Subject,Syllable,Type,Role,Sentence,Mean.f0,Duration,Intensity,C.Mean.f0,C.Duration,C.Intensity,Num.Syls,HasCoda,Position
4,ba,adjunct,nonsubj,Ziba bilen Qurban yighlaptu,277.4671743,0.194649721,81.99164874,0.5249448146213842,-0.4774777408761189,0.617098820822052,9,FALSE,initial
4,ba,adjunct,nonsubj,Ziba bilen Qurban yuridu,302.1846694,0.246646956,79.85258403,1.8018343451548666,1.1164834525330924,-0.5593051064761646,9,FALSE,initial
4,ba,relative,nonsubj,Ziba bilidighan Adil ketti,300.3587329,0.225040572,82.44958905,1.7075076671951341,0.4541455873389586,0.8689485085073584,9,FALSE,initial
4,ba,simple,subj,Ziba mangidu,254.8601099,0.186522109,81.0663671,-0.6429212548031105,-0.7266274913020221,0.1082292433547369,5,FALSE,initial
4,ba,simple,subj,Ziba yighlaptu,267.016021,0.175766536,82.10134505,-0.014954887058760287,-1.0563366763169537,0.6774276034394452,5,FALSE,initial
4,ba,simple,subj,Ziba yüridu,285.3842266,0.155436944,82.71833029,0.9339345263076618,-1.6795348276386992,1.0167459307569122,4,FALSE,initial
5,ban,simple,subj,Qurban bardi,141.3866748,0.224740638,80.97212173,-0.8291504068632678,0.218163245592183,0.848902724873804,4,TRUE,initial
5,ban,adjunct,nonsubj,Qurban bilen Ziba bardi,136.5933892,0.193469275,80.51409587,-1.4133881893140465,-0.30589524223309006,0.705370797574516,8,TRUE,initial
5,ban,adjunct,nonsubj,Qurban bilen Ziba mangidu,160.4523718,0.214288998,76.66723123,1.4947045572887583,0.04301032201497502,-0.5001242280528407,9,TRUE,initial
5,ban,adjunct,nonsubj,Qurban bilen Ziba yighlaptu,148.6065648,0.221371496,78.90419497,0.05085818747931268,0.1617017647866098,0.20087487470705562,9,TRUE,initial
5,ban,adjunct,nonsubj,Qurban bilen Ziba yüridu,144.1476632,0.218215765,79.38719313,-0.49262263138743995,0.10881671414640155,0.35223239147872915,8,TRUE,initial
5,ban,relative,nonsubj,Qurban bilidighan Ziba ketti,158.1207404,0.218759212,75.3834062,1.2105096913227888,0.11792402466027914,-0.9024374967206181,10,TRUE,initial
5,ban,simple,subj,Qurban mangidu,147.4138325,0.238629445,80.73033466,-0.0945200211568278,0.45091764117503846,0.7731337188330784,5,TRUE,initial
5,ban,simple,subj,Qurban yighlaptu,148.1077083,0.159369555,81.51568381,-0.009945787005568595,-0.8773525112515599,1.019239205327574,5,TRUE,initial
5,ban,simple,subj,Qurban yüridu,159.0159747,0.23246997,80.03883336,1.319626849333543,0.34769460115923956,0.5564374075833933,4,TRUE,initial
5,ba,simple,subj,Ziba bardi,148.0521574,0.215842373,76.16021957,-0.016716703103109954,0.0690424253654296,-0.6590068743798693,4,FALSE,initial
